source_order	source_key	source_hash	target_text
46	LT.SmallSlime.Name	747babbfca14e5de	빛의 슬라임
47	AC.GoblinShotgunOrange.Name	5bd3d88b98f75348	나팔총 고블린
48	AC.GoblinShotgun.Name	b51d660347f3abaa	사격 고블린
49	AC.GoblinSuicidal.Name	6c4356dca606fba2	자폭 고블린
50	AC.GoblinFlameThrower.Name	745747afbb58b446	방화범 고블린
51	AC.CrystalGeode.Name	11af8b8534d5da5e	살아 있는 정동석
52	AC.CrystalSlime.Name	1e9eed2a34a983de	거대 수정 슬라임
53	AC.CrystalSlimeSmall.Name	55e545a23ad3da57	수정 슬라임
54	AC.CrystalGolem.Name	c4d5548590dc0113	바위 골렘
55	AC.Worm.Name	0e5bda0a181a8589	동굴 벌레
56	AC.Wormorok.Name	a2b1e50fa9a7e37a	워모록
57	TF.HammerWhirlwind.Name	9e74d108d612b3f2	정예 광신도
58	TF.HammerWarrior.Name	565989f3ba1b8090	말단 광신도
59	TF.Amazon.Name	4fb6bf61a5972641	강철 아마존
60	TF.FlyingFire.Name	79bede7b43651f93	화염 정령
61	TF.FireSlime.Name	095170aa385aba01	용암 슬라임
62	TF.FlyingBomb.Name	0f7e437d694ae4a5	격노한 정령
63	TF.CoalThrower.Name	756c0192474c2916	화염 하사관
64	TF.Phoenix.Name	2c3783bf8e7afefa	불사조
65	CL.Turret.Name	5d7dc041767f9566	메카 포탑
66	CL.Mine.Name	d2c79437aacaf93d	펄스 지뢰
67	CL.Eye.Name	9a0b80bf2128fe5a	메카 파수꾼
68	CL.Pyramid.Name	b9749da1f5d9f2ab	메카 피라미드
69	CL.MiniRobot.Name	dc06b646ac639b2a	전투 로봇 A1
70	CL.Robot.Name	3ddfcaef10f2d802	전투 로봇 T-900
71	CL.Defensor.Name	8304144b5ea7f396	전투 로봇 B2
72	CL.SlimeRobot.Name	c575b773609e9dbc	기계 슬라임
73	UF.PunchShooter.Name	f60e135465a6f4f6	전투 로봇 A-100
74	UF.Robot.Name	6f2675a8a8ee4d9d	전투 로봇 T-600
75	UF.WheelRobot.Name	ae7f2fa6918f1a26	메카 파괴자
76	UF.Watcher.Name	d7268431fbd05866	메카 밀고자
77	UF.AI.Name	d3b38e8dd586add4	주모자
78	UF.GlitchPortal	6137ec3af0169cb5	이상 현상
79	IS.Beholder.Name	61ec4b4716fd1474	응시자
80	IS.Slime.Name	567386616f0e7fe5	시간 슬라임
81	EW.RedDragon.Name	3800dd6ba5220ed6	진홍 뇌전
82	EW.BlackDragon.Name	a9752439bcd7255d	밤의 소망
83	EW.BlueDragon.Name	16b99ea115ae0830	겨울 숨결
84	EW.GreenDragon.Name	90705c173e2af209	요정 바람
85	EW.Sage.Name	e0037305c95517b2	천상룡
86	EW.DragonSlimeRed.Name	1838764a64c6a504	진홍 슬라임
87	EW.DragonSlimeBlack.Name	5e7e9566caee70f4	야행성 슬라임
88	EW.DragonSlimeBlue.Name	7cb43fbef3590fe8	겨울 슬라임
89	EW.DragonSlimeGreen.Name	d8265296da960044	요정 슬라임
90	EW.InfectedEgg.Name	8a854cdf6bf1607d	비늘 둥지
91	AB.Vulture.Name	8cea35f4842e1c9a	지옥 독수리
92	AB.Ignis.Name	31e06cbfa7a3cfde	화염의 파멸
93	AB.Lurker.Name	663c5b87a38e91a1	지옥의 추적자
94	AB.Slime.Name	ab1ffacd6ef7b284	어둠의 슬라임
95	AB.Werewolf.Name	03ab8f7337a052bc	저승의 야수
96	AB.KingClone.Name	7d66ac470c8f2bc8	네 두려움
97	CO.ChaosMeleeFire.Name	326ba1cacf36078d	카오스의 별
98	CO.ChaosMeleeIce.Name	34dbd33604f91c4d	카오스의 혜성
99	CO.ChaosMeleeFLight.Name	920a7acb377781e7	카오스의 후광
100	CO.ChaosMeleeDarkness.Name	abdbab931a30ebf3	카오스의 공허
101	CO.ChaosRangedFire.Name	21de9bf01cc1a78c	화염의 집행자
102	CO.ChaosRangedIce.Name	225e9a7f85231a98	빙결의 집행자
103	CO.ChaosRangedLight.Name	f6f736d390e28b0f	천상의 집행자
104	CO.ChaosRangedDarkness.Name	3945c163f2574f63	어둠의 집행자
105	CO.Slime.Name	f6a34fb3abd2790d	우주 슬라임
106	RS.SupremeAurora.Name	3458d0c8d1f3a26a	최고 오로라
107	AP.ClimbingAngel.Name	c59a5018804c4177	등반 천사
108	AP.DefenseTower.Name	9d242842a2f75349	새벽의 수호자
109	AP.HolyKnight.Name	67c03d2ddb4d3bdb	광휘의 창기사
110	AP.MecaSorceress.Name	714d148fcf3d44ef	신성한 마법사
111	AP.Monk.Name	b2c88bce0b601487	왕실 마법사
112	AP.Priestess.Name	219d513dab5e10dd	견습 오로라
113	AP.Cherub.Name	c3949401dc84eaa6	천상 드론
114	AP.Sword.Name	889fbe4f8ca4a126	신성한 칼날
115	AP.SwordKnight.Name	76358ca85105705c	광휘의 기사
116	AP.Queen.Name	47cb08b529d45819	빛의 여왕
117	MobUI.UnknownName	2669e033a1213e64	알 수 없음
118	MobUI.UnknownZone	4addcc15074c3259	알 수 없는 지역
119	TMPRO.Text (TMP).-294466	51db4780cd4e5d71	일반
120	TMPRO.Text (TMP).-294446	ca0bf4efbca54893	희귀
121	TMPRO.Text (TMP).-294426	005725b48609c45e	보스
122	TMPRO.Text (TMP).-153356	02ca5904026e4337	중앙
123	TMPRO.CancelText.-155330	bb9dbb406dcbd524	취소
124	TMPRO.Bought.-2594122	ba5a31e2fcaaedfe	구매 완료
125	Perks.UnKnow	2669e033a1213e64	알 수 없음
126	Perks.Slot	434973fc5f122af5	아이템 하나를 장착할 수 있게 한다.
127	TMPRO.Text (TMP).-1528992	739215889580345e	예
128	TMPRO.Text (TMP).-1528906	1ea442a134b2a184	아니오
129	TMPRO.Text (TMP).-1535032	fe763b30eaedde0a	게임을 종료하면 마지막으로 지나온 가로등에서 다시 시작합니다. 그래도 나가시겠습니까?
130	TMPRO.Text (TMP).1184186	b61eda6f4b63d533	게임 시작
131	TMPRO.Text (TMP).1180322	c26982b1425da26a	튜토리얼
132	ZONEMAP.Descanso de los Heroes.HR23.586536	3dca56a952024185	거짓 기사의 지하묘#테라스
133	ZONEMAP.Descanso de los Heroes.HR22.588402	33be0e019c5f4622	거짓 기사의 지하묘#도서관
134	ZONEMAP.Descanso de los Heroes.HR21.590270	bfb95e646aea5f5f	거짓 기사의 지하묘#홀
135	ZONEMAP.Descanso de los Heroes.HR15.589018	1416541a151fe3b9	복수자들의 지하묘#홀
136	ZONEMAP.Descanso de los Heroes.HR14.591846	6334cf07cf37691a	복수자들의 지하묘#종탑
137	ZONEMAP.Descanso de los Heroes.HR13.593620	ac226e4ce763b575	복수자들의 지하묘#현수교
138	ZONEMAP.Descanso de los Heroes.HR12.588856	3482bb0e5e04ab5e	복수자들의 지하묘#도서관
139	ZONEMAP.Descanso de los Heroes.HR11.591402	7255b366de2e8657	복수자들의 지하묘#전방 탑
140	ZONEMAP.Descanso de los Heroes.HR24.594240	a63c64231bb625ab	거짓 기사의 지하묘#아치 회랑
141	ZONEMAP.La Forja.Nido del Fénix.593904	ec73b588b6a7950e	마그마 핵#불사조의 둥지
142	ZONEMAP.La Forja.Sector Sur.587152	fc3c81d6f6aea5ea	남쪽 구역#용광로 외곽
143	ZONEMAP.La Forja.Sector Norte.590060	6910e38df70fbc81	북쪽 구역#용광로 외곽
144	ZONEMAP.La Forja.Sala Principal.588036	32dd9dbcb8647492	대장간#주실
145	ZONEMAP.La Forja.Horno Sur.586072	c554aa3e5e0e9570	주조장#남쪽 용광로
146	ZONEMAP.La Forja.Horno Norte.586186	5a49d6883b7a05bc	주조장#북쪽 용광로
147	ZONEMAP.La Forja.Horno Oeste.588374	ee269bc882cc9117	주조장#서쪽 용광로
148	ZONEMAP.La Forja.Sector 4.587452	0f18e71d1b096fc6	증기실#남쪽 통로
149	ZONEMAP.La Forja.Sector 3.593416	3e1e6e8c27040494	옛 대장간#서쪽 통로
150	ZONEMAP.La Forja.Sector Sur.592660	00544bcf24505c8b	서쪽 구역#용광로 외곽
151	ZONEMAP.La Forja.Nexus.-1188412	482072760061fa59	옛 광산#폐광지
152	ZONEMAP.Descanso de los Heroes.HR25.591040	752eaa3446809d08	거짓 기사의 지하묘#무덤
153	ZONEMAP.Descanso de los Heroes.HR26.593914	4880408c21529b8e	거짓 기사의 지하묘#창의 정원
154	ZONEMAP.Descanso de los Heroes.HR41.586740	c9b9a8c2f083a87d	노스페라투의 지하묘#중앙실
155	ZONEMAP.Descanso de los Heroes.HRM3B.587626	5384901061fd8df5	중간 구역#어둠의 봉헌물
156	ZONEMAP.Descanso de los Heroes.HRM3A.593936	085596ef8b4815f3	내부 구역#연옥의 길
157	ZONEMAP.Descanso de los Heroes.HRM2B.594114	680c5d0f031b4091	중앙 광장#배수구
158	ZONEMAP.Descanso de los Heroes.HRM2A.594224	3b5fe95c0e530ff4	중앙 광장#장식 정원
159	ZONEMAP.Descanso de los Heroes.HRM1C.592406	9ecd458a61af3dd3	내부 구역#신앙의 길
160	ZONEMAP.Descanso de los Heroes.HRM1B.587872	8d28cc0224b340eb	중간 구역#빛의 봉헌물
161	ZONEMAP.Descanso de los Heroes.HRM1A.590088	2f534931eb74766a	외곽 구역#동쪽 입구
162	ZONEMAP.Descanso de los Heroes.HRU2.588388	1decd2330b3132bf	지하 회랑#서쪽 수문
163	ZONEMAP.Descanso de los Heroes.HRU1.591942	c957e9105f3e778f	지하 회랑#동쪽 수문
164	ZONEMAP.Descanso de los Heroes.HRS2.588640	52de5c5551c77983	옛 카타콤#남쪽 배수구
165	ZONEMAP.Descanso de los Heroes.HRS1.589300	2a29c6b18e0cedba	옛 카타콤#북쪽 배수구
166	ZONEMAP.Descanso de los Heroes.HR72.589754	f4e2258d0b8b9d2c	참회자의 지하묘#테라스
167	ZONEMAP.Descanso de los Heroes.HR73.589126	a711ed1082799d39	참회자의 지하묘#비밀 도서관
168	ZONEMAP.Descanso de los Heroes.HR71.593408	92ea865712933f62	참회자의 지하묘#측면 복도
169	ZONEMAP.Descanso de los Heroes.HR6.591928	566e5f39f0918cb7	오르간실#밤의 교향곡 극장
170	ZONEMAP.Descanso de los Heroes.HR5.586772	36cb978da3dd9ab1	시체 보관소#수집품
171	ZONEMAP.Descanso de los Heroes.HR44.592312	5e791d270ca3d216	노스페라투의 지하묘#구불구불한 통로
172	ZONEMAP.Descanso de los Heroes.HR43.593204	b0cd970554afb9d1	노스페라투의 지하묘#숨겨진 판테온
173	ZONEMAP.Descanso de los Heroes.HR42.593436	bc33ac372b77f7a5	노스페라투의 지하묘#상부 회랑
174	ZONEMAP.Descanso de los Heroes.Bell Zone.-846656	e934e9821fdad1b6	대성당#종탑
175	ZONEMAP.Descanso de los Heroes.Caracombs.-1008822	444a8ab589b26593	카타콤#패배한 신의 거처
176	ZONEMAP.Descanso de los Heroes.Nexus.-1069924	ab23770e626f4bd2	지하 통로#갈림길
177	ZONEMAP.Descanso de los Heroes.Church.-419148	eae4254c9f2b148b	교회#순환의 성소
178	ZONEMAP.La Forja.Sector 2.588700	b73fc94559670ad1	정비실#측면 창고
179	ZONEMAP.La Forja.Sector 1.593796	d9a6ac8b7b070bee	강철 터널#북쪽 통로
180	ZONEMAP.La Forja.Entrada.587820	a2661549c59e097a	용암 동굴#외부 대문
181	ZONEMAP.Ascension Cave.Cave 21.592664	ed9e3eaff7110db6	심층 터널#들끓는 균열
182	ZONEMAP.Ascension Cave.Cave 20.594036	d2b1c04023dd9a4e	심층 터널#워모록의 둥지
183	ZONEMAP.Ascension Cave.Cave 19.587742	f5a680e97247a930	심층 터널#선로 끝
184	ZONEMAP.Ascension Cave.Cave 18a.2622362	26d45194c76e1b9a	폐광#상부 레일 교차점
185	ZONEMAP.Ascension Cave.Cave 18b.2615780	3e7305f8aff02500	폐광#하부 레일 교차점
186	ZONEMAP.Ascension Cave.Cave 17.591818	6c7ec841ed7e922f	심층 터널#보물의 방
187	ZONEMAP.Ascension Cave.Cave 16.593660	3361ccd6c3ec062f	심층 터널#옛 마을
188	ZONEMAP.Ascension Cave.Cave 15.520646	2a7123c2c5a9028d	심층 터널#잔해 회랑
189	ZONEMAP.Ascension Cave.Cave 14.590426	2d63019ad8706758	중앙 터널#조화의 숲
190	ZONEMAP.Ascension Cave.Cave 13.593902	b20675d83ad78cf2	고블린 광산#주 채굴지
191	ZONEMAP.Ascension Cave.Cave 12.590578	9200d524ef6be381	고블린 광산#수정 광맥
192	ZONEMAP.Ascension Cave.Cave 11.586140	ed9cc0df4d6c1908	고블린 광산#노역장
193	ZONEMAP.Ascension Cave.Cave 10.590698	d6ebad6778ea7049	고블린 광산#변경 갱도
194	ZONEMAP.Ascension Cave.Cave 9.588258	fdbabce821e1b5c5	고블린 마을#조보의 거처
195	ZONEMAP.Ascension Cave.Cave 8.593292	c1c74ad9396c3f46	고블린 광산#발굴지
196	ZONEMAP.Ascension Cave.Cave 7.586634	6601adba6076c4f3	상부 터널#세노테
197	ZONEMAP.Ascension Cave.Cave 6.586234	0f95101fee8dc6de	중앙 터널#강의 교차점
198	ZONEMAP.Ascension Cave.Cave 5.588166	dd9dbb037bccfacc	상부 터널#지하 미궁
199	ZONEMAP.Ascension Cave.Cave 4.586102	08a0c1cc3ba73819	상부 터널#횡단 하강로
200	ZONEMAP.Ascension Cave.Cave 3.592816	44618c136cde0de6	상부 터널#폭포
201	ZONEMAP.Ascension Cave.Cave 2.590324	e2107097e988f66e	상부 터널#구불구불한 동굴
202	ZONEMAP.Ascension Cave.Cave 1.588616	1edd3359770a8ed0	상부 터널#기존 통로
203	ZONEMAP.Ascension Cave.Cave 0.-1424256	fee73e7d95b302f3	상부 터널#보조 통로
204	ZONEMAP.Descanso de los Heroes.HRM3C.593200	2bd7032ab31a618a	외곽 구역#서쪽 입구
205	ZONEMAP.Transition Zone.AC-FG.591662	7bc1c30e6b8d4464	중앙 터널#마그마 경계
206	ZONEMAP.Transition Zone.HR-AC-LT.587728	dbc58ca45acbf971	길의 교차점#동부 초원
207	ZONEMAP.Torre de la Luz.LT3C.4669126	f0379182031a898e	승천으로 가는 길#하늘로 가는 출구
208	ZONEMAP.Torre de la Luz.LT3B.588618	a3be9962943d6510	승천으로 가는 길#신성한 길
209	ZONEMAP.Torre de la Luz.LT3A.587870	057cb89ddf2f1405	승천으로 가는 길#빛의 결정
210	ZONEMAP.Torre de la Luz.LT2Throne.589766	511fac05c52a4a02	측실#상부 명상실
211	ZONEMAP.Torre de la Luz.LT2Up.588690	77a3b2ca06505a53	측실#탑의 전당
212	ZONEMAP.Torre de la Luz.LT2Down.592684	037fdcc0d7b367bb	측실#여왕의 전당
213	ZONEMAP.Torre de la Luz.LT2C.587968	e57979ce364a387c	상부 구간#제2 방열기
214	ZONEMAP.Torre de la Luz.LT2B.590346	bdb6d2eb8c87bdf8	상부 구간#교차점
215	ZONEMAP.Torre de la Luz.LT2A.593092	1354f945d1028a52	상부 구간#증폭기 I
216	ZONEMAP.Torre de la Luz.LT1Throne.590956	72df7527a177dd97	측실#하부 명상실
217	ZONEMAP.Torre de la Luz.LT1Left.588622	e074642e59996503	측실#비숍의 전당
218	ZONEMAP.Torre de la Luz.LT1C.588668	2f688c7011ded117	하부 구간#제1 방열기
219	ZONEMAP.Torre de la Luz.LT1B.590072	2406ac0517444eb0	하부 구간#교차점
220	ZONEMAP.Torre de la Luz.LT1A.592388	303a1e401db117f5	하부 구간#탑 기단
221	ZONEMAP.Torre de la Luz.Queen Soul Room.-479718	6b1afb8faad2405a	지성소#빛의 감옥
222	ZONEMAP.Torre de la Luz.Boss Room.-511624	bcb32a3fd4d00954	정상#하늘의 문
223	ZONEMAP.Cuna de la Luz.Main.588024	9215366a41a75198	에너지 결정#지상
224	ZONEMAP.Cuna de la Luz.Cave 2.587354	8cd2708798d3ed9b	북동쪽 공동#수정 군집
225	ZONEMAP.Cuna de la Luz.Sala de Control.586818	f2087a9014a1fcfc	에너지 결정#빛의 핵
226	ZONEMAP.Cuna de la Luz.Cave 4.588652	0f62e0ae9ffd2993	에너지 결정#기저부
227	ZONEMAP.Cuna de la Luz.Cave 3.587282	56d55705526ea729	남동쪽 공동#추출 지점
228	ZONEMAP.Cuna de la Luz.Cave 1.593056	41abedcda1dcf528	서쪽 공동#보조 노드
229	ZONEMAP.Sistema de Railes TAL.Estacion.-113780	28deacdbb73b6bd5	TAL 레일 시스템#동쪽 역
230	ZONEMAP.Descanso de los Heroes.Estancias de Garibaldi.587604	06183eff3495366f	영웅들의 회당#대전당
231	ZONEMAP.Poblado Goblin.Coliseo.-1183862	9de089e0506a104b	고블린 마을#콜로세움
232	SAY.Flowchart.1.Phoenix	a62124ae766f8e8b	또다시 나를 이기시는군요, 어둠의 왕이여. 내 힘을 가져가시고... 나도 왕께 고개를 숙여요.
233	SAY.Flowchart.4.Phoenix	69e83f8c06776de5	왕께 형벌인 것이 제게는 선물이에요. 저는 잿더미에서 다시 태어나고, 우리는 다시 만나게 될 거예요...
234	SAY.Flowchart.5.TheKingOfDarkness-FG-Boss	28b5d2dcb7861f9b	언제나 훌륭한 적수임을 증명해 왔지.
235	SAY.Flowchart.6.TheKingOfDarkness-FG-Boss	9d9242f447c3a94b	다음번에는 다를지도 모르지...
236	TMPRO.Text (TMP).-23510	23acf1138c731b32	임무
239	TMPRO.Text (TMP).-23382	9ab4e0644578ae5e	비밀
240	TMPRO.Text (TMP).-23354	3b695850bceeb43a	보물
241	TMPRO.Text (TMP).-23326	3af6f93c87475d1f	재화
243	TMPRO.Text (TMP).-23270	fb462ed73f00bf6a	왕좌
244	TMPRO.Text (TMP).-23214	348ce87615f9e7b3	문 열기
245	TMPRO.Text (TMP).-23186	0ad69c6c79b34d57	문
246	TMPRO.Text (TMP).-23158	40691b5888b9e9ff	플레이어
247	TMPRO.Text (TMP) (1).-22938	40ebb94aa54b1a03	수집품
248	TMPRO.Text (TMP).-22928	ae011b6f484ea621	지도
252	TMPRO.Text (TMP).-22768	bd62e781ec4eafb8	뒤로
253	TMPRO.Text (TMP).5317450	bd62e781ec4eafb8	뒤로
254	TMPRO.Text (TMP).5334312	bd62e781ec4eafb8	뒤로
255	TMPRO.Text (TMP).-22748	e34d74b9f5cfa952	임무
256	TMPRO.Text (TMP).-22700	9ab4e0644578ae5e	비밀
257	TMPRO.Text (TMP).-22672	3b695850bceeb43a	보물
258	TMPRO.Text (TMP).-22644	3af6f93c87475d1f	재화
260	TMPRO.Text (TMP).-22588	fb462ed73f00bf6a	왕좌
261	TMPRO.Text (TMP).-22532	348ce87615f9e7b3	문 열기
262	TMPRO.Text (TMP).-22504	0ad69c6c79b34d57	문
263	TMPRO.Text (TMP).-22476	40691b5888b9e9ff	플레이어
264	TMPRO.Text (TMP).-22380	b517df9a33d92b6b	스크롤
265	TMPRO.Text (TMP).-22294	2e58ab21fd299896	보석
266	TMPRO.Text (TMP).-22226	2ff0dec0bc12f5c2	상호작용
267	TMPRO.Text (TMP).-118306	2ff0dec0bc12f5c2	상호작용
269	TMPRO.Text (TMP).-22158	bd62e781ec4eafb8	뒤로
270	TMPRO.Text (TMP).5307406	bd62e781ec4eafb8	뒤로
271	TMPRO.Text.-22106	6fd6a280c9ac87e9	#0#개 남음
274	TMPRO.Text (TMP) (1).-21992	ae011b6f484ea621	지도
275	TMPRO.Text (TMP).-21982	91858db92839a3f2	진행도
276	TMPRO.Text (TMP).-21914	9ab4e0644578ae5e	비밀
277	TMPRO.Text (TMP).-21886	3b695850bceeb43a	보물
278	TMPRO.Text (TMP).-21858	3af6f93c87475d1f	재화
280	TMPRO.Text (TMP).-21802	fb462ed73f00bf6a	왕좌
281	TMPRO.Text (TMP).-21746	348ce87615f9e7b3	문 열기
282	TMPRO.Text (TMP).-21718	0ad69c6c79b34d57	문
283	TMPRO.Text (TMP).-21690	40691b5888b9e9ff	플레이어
284	TMPRO.Text.-21636	cc778de3cfb00a2d	#0#개 사용 중
286	TMPRO.Text (TMP).-21570	b842a849cdda253c	확대/축소
287	TMPRO.Text (TMP).5775248	b842a849cdda253c	확대/축소
288	TMPRO.Text (TMP).-21518	492f9fde9ec13acd	이동
289	TMPRO.Text (TMP).5333246	492f9fde9ec13acd	이동
290	TMPRO.Text (TMP).-13794	b842a849cdda253c	확대/축소
291	TMPRO.Text (TMP).-13760	492f9fde9ec13acd	이동
292	TMPRO.Text (TMP).5327980	492f9fde9ec13acd	이동
293	TMPRO.Text (TMP) (10).-13726	0eb08db63aa5f21e	승천의 동굴
294	TMPRO.Text (TMP) (10).-13692	56c5347127f17f13	구슬의 신전
295	TMPRO.Text (TMP) (1).-13658	377e3468f2bb5995	저주받은 자들의 구덩이
296	TMPRO.Text (TMP) (11).-13624	4f7926f69e803322	대장간
297	TMPRO.Text (TMP) (10).-13590	58e477e0ab10ddaf	빛의 탑
298	TMPRO.Text (TMP) (9).-13556	e4c717dc6e50b392	빛의 요람
299	TMPRO.Text (TMP) (8).-13522	c7a49f414cbb3d7d	영묘
300	TMPRO.Text (TMP) (7).-13488	bbc869ef73c8c711	영웅의 안식처
301	TMPRO.Text (TMP) (6).-13454	9a33805e617de323	아이테르나 궁전
302	TMPRO.Text (TMP) (5).-13420	e978f7b76f9b81a4	스러진 자들의 황야
303	TMPRO.Text (TMP) (4).-13386	13e1565a8a6cbfb6	해저 요새
304	TMPRO.Text (TMP) (3).-13352	78e4f2c2313a6990	무한의 바다
305	TMPRO.Text (TMP) (2).-13318	25fbdb5d392060b7	심연
306	TMPRO.Text (TMP) (1).-13284	7b5a6c44018f15c7	세상의 끝
307	TMPRO.Text (TMP).-13250	168ae35c7276ff55	코스모스
309	TMPRO.Text (TMP).-9092	a1447b129b79461e	특성
313	TMPRO.Text (TMP).-8932	bd62e781ec4eafb8	뒤로
314	TMPRO.SceneText (TMP).-8912	fb0622e847050b21	동굴 1
315	TMPRO.ZoneText (TMP).-8902	56beee3716cdff09	승천의 동굴
316	TMPRO.Text (TMP).-8844	9ab4e0644578ae5e	비밀
317	TMPRO.Text (TMP).-8816	3b695850bceeb43a	보물
318	TMPRO.Text (TMP).-8788	3af6f93c87475d1f	재화
320	TMPRO.Text (TMP).-8732	fb462ed73f00bf6a	왕좌
321	TMPRO.Text (TMP).-8676	8d04ce652c0e0fdf	열림
322	TMPRO.Text (TMP).-8648	924d48bdab01d434	닫힘
323	TMPRO.Text (TMP).-8620	40691b5888b9e9ff	플레이어
326	TMPRO.Text (TMP).-8390	b842a849cdda253c	확대/축소
328	TMPRO.Text (TMP).-8322	2c07979045a89780	범례
329	TMPRO.LegendProgress.-1051650	2c07979045a89780	범례
330	TMPRO.LegendGems.1270016	2c07979045a89780	범례
331	TMPRO.Text (TMP).-8270	492f9fde9ec13acd	이동
332	TMPRO.Text (TMP) (1).-8236	a1447b129b79461e	특성
333	TMPRO.Text (TMP).-8224	2e7c2f5d5c9259cc	임무
334	TMPRO.Text (TMP).-8082	93fffbf7ce799f33	나가기
335	TMPRO.Text (TMP).-118238	93fffbf7ce799f33	나가기
336	TMPRO.Text (TMP).-7990	81db3b5709d0ba95	설정
337	TMPRO.Text (TMP).-1538666	81db3b5709d0ba95	설정
338	TMPRO.Text (TMP).-7874	63e2bbaf1c924391	이어하기
339	TMPRO.Adquired.-3030816	a3c209fcf492e853	장착
340	TMPRO.Text (TMP).-3015986	2e7c2f5d5c9259cc	임무
341	TMPRO.Text (TMP) (1).-3015996	91858db92839a3f2	진행도
342	TMPRO.Text (TMP).-3016232	40ebb94aa54b1a03	수집품
343	TMPRO.Text (TMP).-3644996	421dae3bc024b210	주요
344	TMPRO.Text (TMP).-3645024	03774eb3fb33132e	보조
345	TMPRO.Text (TMP).532500	a5ce935500e7f409	완료
346	MENU.Flowchart.6	858f4ad5f0863027	사용한다
347	MENU.Flowchart.8	9f66cb317cb82d57	사용하지 않는다
348	SAY.Flowchart.44.The King of the Darkness	b50c06db2977aa10	이 엘리베이터로 대장간을 빠르게 오갈 수 있겠군
349	MENU.Flowchart.38	1476ab614e549742	북쪽 용광로
350	MENU.Flowchart.40	02fdcdff06469c5e	남쪽 용광로
351	MENU.Flowchart.39	03c5a4d0210ccd80	서쪽 용광로
352	MENU.Flowchart.45	93fffbf7ce799f33	나가기
353	SAY.Flowchart.59.TheKingOfDarknessMainForge	deab54871c4c9268	작동하지 않는 것 같군...
354	SAY.Flowchart.25.Blacksmith	a609eaf73818b729	그를... 그를 죽였군요.
355	SAY.Flowchart.29.Blacksmith	b8a470ad298a2783	머릿속에서 들리던 그 목소리... 정말 괴로웠어요.
356	SAY.Flowchart.28.Blacksmith	14fe1bf7f89a633e	왜 그런 일을 한 거예요?
357	SAY.Flowchart.42.TheKingOfDarknessMainForge	42750f0e23a11f8b	네 딸이 부탁해서 한 일이지만, 사실은 그 힘이 필요해서 죽였다.
